"Id_zone","Type_zone","Libelle_zone","Public"
11|Fr,Pays,France métropolitaine,1
10|52,Région,Pays de la Loire,1
09|44,Département,Loire-Atlantique,1
09|49,Département,Maine-et-Loire,1
09|53,Département,Mayenne,1
09|72,Département,Sarthe,1
09|85,Département,Vendée,1
05|52121,Bassin,Ancenis,1
05|52118,Bassin,Angers,1
05|52129,Bassin,Beaupreau,1
05|52130,Bassin,Blain,1
05|52117,Bassin,Challans,1
05|52126,Bassin,Chateau Gontier,1
05|52103,Bassin,Chateaubriant,1
05|52105,Bassin,Cholet,1
05|52123,Bassin,Clisson,1
05|52115,Bassin,Fontenay Le Cte,1
05|52122,Bassin,La Baule,1
05|52110,Bassin,La Ferte Bernard,1
05|52112,Bassin,La Fleche,1
05|52114,Bassin,La Roche Sur Yon,1
05|52127,Bassin,Laval,1
05|52108,Bassin,Le Mans,1
05|52113,Bassin,Les Herbiers,1
05|52116,Bassin,Les Sables D Olonnes,1
05|52109,Bassin,Mamers,1
05|52128,Bassin,Mayenne,1
05|52120,Bassin,Nantes,1
05|52124,Bassin,Pornic,1
05|52111,Bassin,Sable Sur Sarthe,1
05|52125,Bassin,Saint Nazaire,1
05|52106,Bassin,Saumur,1
05|52119,Bassin,Segre,1
04|PDL0098,Agence,Ancenis,0
04|PDL0120,Agence,Angers Balzac,0
04|PDL0112,Agence,Angers Capucins,0
04|PDL0121,Agence,Angers Europe,0
04|PDL0117,Agence,Angers La Roseraie,0
04|PDL0118,Agence,Beaufort en Vallée,0
04|PDL0116,Agence,Beaupreau,0
04|PDL0072,Agence,Blain,0
04|PDL0022,Agence,Challans,0
04|PDL0053,Agence,Chateau Gontier,0
04|PDL0088,Agence,Chateaubriant,0
04|PDL0111,Agence,Cholet,0
04|PDL0080,Agence,Clisson,0
04|PDL0021,Agence,Fontenay Le Comte,0
04|PDL0079,Agence,La Baule Guerande,0
04|PDL0042,Agence,La Ferte Bernard,0
04|PDL0041,Agence,La Fleche,0
04|PDL0017,Agence,La Roche Actisud,0
04|PDL0018,Agence,La Roche Nord,0
04|PDL0052,Agence,Laval Ferrie,0
04|PDL0050,Agence,Laval Saint Nicolas,0
04|PDL0031,Agence,Le Mans Faculte,0
04|PDL0039,Agence,Le Mans Gare,0
04|PDL0038,Agence,Le Mans Les Sablons,0
04|PDL0020,Agence,Les Herbiers,0
04|PDL0454,Agence,Lucon,0
04|PDL0084,Agence,Machecoul,0
04|PDL0044,Agence,Mamers,0
04|PDL0054,Agence,Mayenne,0
04|PDL0016,Agence,Montaigu,0
04|PDL0037,Agence,Montval Sur Loir,0
04|PDL0091,Agence,Nantes Centre,0
04|PDL0076,Agence,Nantes Chantenay,0
04|PDL0100,Agence,Nantes Haluchere,0
04|PDL0092,Agence,Nantes Malakoff,0
04|PDL0082,Agence,Nantes Nord,0
04|PDL0074,Agence,Nantes Sainte-Luce,0
04|PDL0019,Agence,Olonne Sur Mer,0
04|PDL0093,Agence,Pornic,0
04|PDL0094,Agence,Reze,0
04|PDL0043,Agence,Sable Sur Sarthe,0
04|PDL0071,Agence,Saint Sebastien,0
04|PDL0115,Agence,Saumur,0
04|PDL0119,Agence,Segre,0
04|PDL0015,Agence,St Gilles Croix De Vie,0
04|PDL0097,Agence,St Herblain,0
04|PDL0087,Agence,St Nazaire,0
04|PDL0096,Agence,Trignac,0
02|200071678,EPCI,CA Agglomération du Choletais,1
02|200067635,EPCI,CA Clisson Sèvre et Maine Agglo,1
02|248500589,EPCI,CA La Roche-sur-Yon Agglomération,1
02|200083392,EPCI,CA Laval Agglomération,1
02|200071165,EPCI,CA Les Sables d'Olonne Agglomération,1
02|200060010,EPCI,CA Mauges Communauté,1
