Id_zone,Type_zone,Libelle_zone,value,label
10|52,Région,Pays de la Loire,1,Région - Pays de la Loire
09|44,Département,Loire-Atlantique,2,Département - Loire-Atlantique
09|49,Département,Maine-et-Loire,3,Département - Maine-et-Loire
09|53,Département,Mayenne,4,Département - Mayenne
09|72,Département,Sarthe,5,Département - Sarthe
09|85,Département,Vendée,6,Département - Vendée
05|52121,Bassin,Ancenis,7,Bassin - Ancenis
05|52118,Bassin,Angers,8,Bassin - Angers
05|52129,Bassin,Beaupreau,9,Bassin - Beaupreau
05|52130,Bassin,Blain,10,Bassin - Blain
05|52117,Bassin,Challans,11,Bassin - Challans
05|52126,Bassin,Chateau Gontier,12,Bassin - Chateau Gontier
05|52103,Bassin,Chateaubriant,13,Bassin - Chateaubriant
05|52105,Bassin,Cholet,14,Bassin - Cholet
05|52123,Bassin,Clisson,15,Bassin - Clisson
05|52115,Bassin,Fontenay Le Cte,16,Bassin - Fontenay Le Cte
05|52122,Bassin,La Baule,17,Bassin - La Baule
05|52110,Bassin,La Ferte Bernard,18,Bassin - La Ferte Bernard
05|52112,Bassin,La Fleche,19,Bassin - La Fleche
05|52114,Bassin,La Roche Sur Yon,20,Bassin - La Roche Sur Yon
05|52127,Bassin,Laval,21,Bassin - Laval
05|52108,Bassin,Le Mans,22,Bassin - Le Mans
05|52113,Bassin,Les Herbiers,23,Bassin - Les Herbiers
05|52116,Bassin,Les Sables D Olonnes,24,Bassin - Les Sables D Olonnes
05|52109,Bassin,Mamers,25,Bassin - Mamers
05|52128,Bassin,Mayenne,26,Bassin - Mayenne
05|52120,Bassin,Nantes,27,Bassin - Nantes
05|52124,Bassin,Pornic,28,Bassin - Pornic
05|52111,Bassin,Sable Sur Sarthe,29,Bassin - Sable Sur Sarthe
05|52125,Bassin,Saint Nazaire,30,Bassin - Saint Nazaire
05|52106,Bassin,Saumur,31,Bassin - Saumur
05|52119,Bassin,Segre,32,Bassin - Segre
04|PDL0098,Agence,Ancenis,33,Agence - Ancenis
04|PDL0120,Agence,Angers Balzac,34,Agence - Angers Balzac
04|PDL0112,Agence,Angers Capucins,35,Agence - Angers Capucins
04|PDL0121,Agence,Angers Europe,36,Agence - Angers Europe
04|PDL0117,Agence,Angers La Roseraie,37,Agence - Angers La Roseraie
04|PDL0118,Agence,Beaufort en Vallée,38,Agence - Beaufort en Vallée
04|PDL0116,Agence,Beaupreau,39,Agence - Beaupreau
04|PDL0072,Agence,Blain,40,Agence - Blain
04|PDL0022,Agence,Challans,41,Agence - Challans
04|PDL0053,Agence,Chateau Gontier,42,Agence - Chateau Gontier
04|PDL0088,Agence,Chateaubriant,43,Agence - Chateaubriant
04|PDL0111,Agence,Cholet,44,Agence - Cholet
04|PDL0080,Agence,Clisson,45,Agence - Clisson
04|PDL0021,Agence,Fontenay Le Comte,46,Agence - Fontenay Le Comte
04|PDL0079,Agence,La Baule Guerande,47,Agence - La Baule Guerande
04|PDL0042,Agence,La Ferte Bernard,48,Agence - La Ferte Bernard
04|PDL0041,Agence,La Fleche,49,Agence - La Fleche
04|PDL0017,Agence,La Roche Actisud,50,Agence - La Roche Actisud
04|PDL0018,Agence,La Roche Nord,51,Agence - La Roche Nord
